epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,715.435,0.35822,0.51574,0.82919,0.75,1,0.995,0.995,0.22145,1.8879,0.88835,0.000126866,0.000126866,0.000126866
80,724.386,0.38786,0.56069,0.84196,0.75,1,0.995,0.995,0.22145,1.8879,0.88835,0.000122909,0.000122909,0.000122909
81,733.147,0.37437,0.46167,0.84481,0.75,1,0.995,0.995,0.19661,1.87184,0.88516,0.00011881,0.00011881,0.00011881
82,741.659,0.37763,0.48293,0.82357,0.75,1,0.995,0.995,0.19661,1.87184,0.88516,0.000114569,0.000114569,0.000114569
83,750.386,0.34226,0.44357,0.8156,0.75,1,0.995,0.995,0.19661,1.87184,0.88516,0.000110187,0.000110187,0.000110187
84,759.297,0.33714,0.72359,0.83005,0.75,1,0.995,0.94525,0.23086,2.00006,0.89189,0.000105664,0.000105664,0.000105664
85,767.457,0.35902,0.53854,0.82432,0.75,1,0.995,0.94525,0.23086,2.00006,0.89189,0.000101,0.000101,0.000101
86,775.514,0.29919,0.42554,0.78589,0.75,1,0.995,0.94525,0.23086,2.00006,0.89189,9.61937e-05,9.61937e-05,9.61937e-05
87,783.37,0.29528,0.40918,0.7664,0.75,1,0.995,0.94525,0.23086,2.00006,0.89189,9.12463e-05,9.12463e-05,9.12463e-05
88,791.452,0.35191,0.47352,0.80897,0.48714,0.5,0.4975,0.4975,0.25864,2.22942,0.89981,8.61577e-05,8.61577e-05,8.61577e-05
89,799.295,0.37376,0.58388,0.88821,0.48714,0.5,0.4975,0.4975,0.25864,2.22942,0.89981,8.09276e-05,8.09276e-05,8.09276e-05
90,807.473,0.35934,0.46353,0.87487,0.48714,0.5,0.4975,0.4975,0.25864,2.22942,0.89981,7.55562e-05,7.55562e-05,7.55562e-05
91,815.447,0.28914,0.35,0.7792,0.48714,0.5,0.4975,0.4975,0.25864,2.22942,0.89981,7.00434e-05,7.00434e-05,7.00434e-05
92,823.488,0.26625,0.40133,0.78454,0.48718,0.5,0.4975,0.4975,0.28713,2.26182,0.90616,6.43892e-05,6.43892e-05,6.43892e-05
93,831.816,0.27857,0.30396,0.76549,0.48718,0.5,0.4975,0.4975,0.28713,2.26182,0.90616,5.85937e-05,5.85937e-05,5.85937e-05
94,839.928,0.2905,0.34969,0.72605,0.48718,0.5,0.4975,0.4975,0.28713,2.26182,0.90616,5.26568e-05,5.26568e-05,5.26568e-05
95,847.833,0.28745,0.32941,0.78831,0.48718,0.5,0.4975,0.4975,0.28713,2.26182,0.90616,4.65785e-05,4.65785e-05,4.65785e-05
96,855.949,0.25915,0.36468,0.80996,0.48728,0.5,0.4975,0.4975,0.29291,2.26664,0.90591,4.03589e-05,4.03589e-05,4.03589e-05
97,863.859,0.27733,0.41289,0.77304,0.48728,0.5,0.4975,0.4975,0.29291,2.26664,0.90591,3.39978e-05,3.39978e-05,3.39978e-05
98,871.844,0.25596,0.34024,0.80055,0.48728,0.5,0.4975,0.4975,0.29291,2.26664,0.90591,2.74954e-05,2.74954e-05,2.74954e-05
99,879.81,0.25953,0.35711,0.83918,0.48728,0.5,0.4975,0.4975,0.29291,2.26664,0.90591,2.08517e-05,2.08517e-05,2.08517e-05
100,887.903,0.29331,0.35454,0.72186,0.48712,0.5,0.4975,0.4975,0.2945,2.237,0.90556,1.40665e-05,1.40665e-05,1.40665e-05
