epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,178.832,0.44912,0.52015,0.90067,0.9869,0.5,0.74625,0.72137,0.36523,3.40488,0.92621,0.000140698,0.000140698,0.000140698
73,183.123,0.4391,0.64055,0.88481,0.9869,0.5,0.74625,0.72137,0.36523,3.40488,0.92621,0.000137925,0.000137925,0.000137925
74,188.032,0.41465,0.45382,0.90034,0.9869,0.5,0.74625,0.72137,0.36523,3.40488,0.92621,0.00013502,0.00013502,0.00013502
75,189.753,0.34758,0.53373,0.84689,0.98694,0.5,0.62187,0.60944,0.41177,3.74427,0.93464,0.000131983,0.000131983,0.000131983
76,191.64,0.40156,0.53367,0.87307,0.98694,0.5,0.62187,0.60944,0.41177,3.74427,0.93464,0.000128814,0.000128814,0.000128814
77,193.866,0.53554,0.78986,0.94603,0.98694,0.5,0.62187,0.60944,0.41177,3.74427,0.93464,0.000125513,0.000125513,0.000125513
78,194.831,0.46085,0.46736,0.91934,0.73718,0.5,0.62187,0.57212,0.43461,3.80531,0.93242,0.00012208,0.00012208,0.00012208
79,197.13,0.40807,0.55089,0.87588,0.73718,0.5,0.62187,0.57212,0.43461,3.80531,0.93242,0.000118515,0.000118515,0.000118515
80,198.795,0.33536,0.67509,0.83231,0.73718,0.5,0.62187,0.57212,0.43461,3.80531,0.93242,0.000114818,0.000114818,0.000114818
81,199.764,0.39415,0.43718,0.88975,0.73711,0.5,0.58042,0.53896,0.42673,3.63539,0.933,0.000110989,0.000110989,0.000110989
82,203.169,0.40272,0.43754,0.90869,0.73711,0.5,0.58042,0.53896,0.42673,3.63539,0.933,0.000107027,0.000107027,0.000107027
83,204.223,0.455,0.5427,0.84005,0.73711,0.5,0.58042,0.53896,0.42673,3.63539,0.933,0.000102934,0.000102934,0.000102934
84,210.14,0.3487,0.40265,0.85688,0.73682,0.5,0.74625,0.72137,0.3836,3.30933,0.925,9.87087e-05,9.87087e-05,9.87087e-05
85,211.78,0.4923,0.61697,0.96527,0.73682,0.5,0.74625,0.72137,0.3836,3.30933,0.925,9.43512e-05,9.43512e-05,9.43512e-05
86,215.855,0.48114,0.5778,0.95075,0.73682,0.5,0.74625,0.72137,0.3836,3.30933,0.925,8.98616e-05,8.98616e-05,8.98616e-05
87,220.388,0.44063,0.44905,0.88311,0.73682,0.5,0.74625,0.72137,0.3836,3.30933,0.925,8.52399e-05,8.52399e-05,8.52399e-05
88,222.213,0.38314,0.43975,0.9252,0.48575,0.5,0.4975,0.4975,0.33982,3.06587,0.9187,8.04862e-05,8.04862e-05,8.04862e-05
89,224.211,0.39586,0.52683,0.8757,0.48575,0.5,0.4975,0.4975,0.33982,3.06587,0.9187,7.56004e-05,7.56004e-05,7.56004e-05
90,225.485,0.36151,0.35504,0.85174,0.48575,0.5,0.4975,0.4975,0.33982,3.06587,0.9187,7.05826e-05,7.05826e-05,7.05826e-05
91,230.651,0.31999,0.44959,0.89617,0.48575,0.5,0.4975,0.4975,0.33982,3.06587,0.9187,6.54327e-05,6.54327e-05,6.54327e-05
92,231.773,0.32178,0.39149,0.76949,0.48398,0.5,0.4975,0.4975,0.29989,3.01588,0.91342,6.01507e-05,6.01507e-05,6.01507e-05
93,233.24,0.31291,0.41781,0.81903,0.48398,0.5,0.4975,0.4975,0.29989,3.01588,0.91342,5.47367e-05,5.47367e-05,5.47367e-05
94,236.172,0.33668,0.38088,0.89873,0.48398,0.5,0.4975,0.4975,0.29989,3.01588,0.91342,4.91906e-05,4.91906e-05,4.91906e-05
95,237.41,0.31623,0.38352,0.75252,0.48398,0.5,0.4975,0.4975,0.29989,3.01588,0.91342,4.35124e-05,4.35124e-05,4.35124e-05
96,240.056,0.3432,0.45798,0.85035,0.48254,0.5,0.4975,0.4975,0.27949,3.00106,0.91117,3.77022e-05,3.77022e-05,3.77022e-05
97,242.996,0.29156,0.35985,0.8095,0.48254,0.5,0.4975,0.4975,0.27949,3.00106,0.91117,3.17599e-05,3.17599e-05,3.17599e-05
98,246.183,0.33703,0.44363,0.79343,0.48254,0.5,0.4975,0.4975,0.27949,3.00106,0.91117,2.56855e-05,2.56855e-05,2.56855e-05
99,247.191,0.35234,0.41141,0.80825,0.48254,0.5,0.4975,0.4975,0.27949,3.00106,0.91117,1.94791e-05,1.94791e-05,1.94791e-05
100,253.277,0.36346,0.37751,0.87539,0.48182,0.5,0.4975,0.4975,0.27279,2.97788,0.90947,1.31406e-05,1.31406e-05,1.31406e-05
